Empresa;Destacado;Inicio;Fin;Proyecto;Rol;Equipo;Tecnologia;Logros;Pais;Sector;Tipo;Tareas
FID SEGUROS;no;feb-21;abr-21;Desarrollar un panel de monitorización en tiempo real de BD de SQL Server y detección de operaciones problemáticas y documentación y migración de base de datos diferentes entornos.;Consultor/Dba senior;1;SQL Server, Report Service, Google Cloud SQL, Google DMS;Implementación exitosa del proyecto;Chile;Seguros;windows;
CORPORACIÓN SANTO TOMAS;no;ago-17;nov-18;Planeación, desarrollo, implementación y mantención de Plataforma de postulación a concursos de investigación y postgrado.;Consultor/Project manager/Desarrollador senior;1;SharePoint 2013, Node, React, Office UI Fabric Core, Office UI Fabric React, SharePoint Framework (SPFx),webpart, audiencia, JavaScript, api. rest, Bootstrap, jquery, css, html5, Oracle.;"Incorporación de indicadores y métricas
Reducción en el rechazo de postulaciones de un 40% ";Chile;Educación;web;
TICKETPRO – PROSYS;no;jul-18;sept-18;Diseño y desarrollo de Dashboard de gestión de venta de entradas;Consultor/Desarrollador senior;1;Java 1.8, Play Framework 2.4, PostgreSQL v10, JavaScript, Css, Html5, Bootstrap.;Implementación exitosa de la primera fase del panel de gestión.;Chile;Comercio;web;
HDI SEGUROS - PROSYS;no;ago-17;nov-18;Desarrollo de Plataforma de gestión, aprobación y pagos de Facturas e integración con servicios legacy de la empresa;Consultor/Desarrollador senior ;1;Asp.Net MVC 4.5, ODAC, Entity Framework 6.2, Oracle 10g (Package y Jobs), JavaScript, Jquery, Css, Html5.;Reducción de promedio 70 días del proceso de aprobación de pago de facturas a menos de 30 días.;Chile;Seguros;web;
CORPORACIÓN SANTO TOMAS;no;ago-15;ago-17;Planeación, desarrollo, implementación y mantención de Plataforma de gestión de inmuebles y contratos;Consultor/Project manager/Desarrollador senior;1;SharePoint 2013, API.rest, BDC, audiencia, JavaScript, Bootstrap, jquery, css, html5, oracle.;Implementación exitosa del proyecto;Chile;Educación;web;
CORPORACIÓN SANTO TOMAS;no;feb-16;jun-16;Rediseño de look&feel, mejoras y corrección de errores de la intranet de colaboradores y alumnos;Consultor/Project manager/Desarrollador senior;1;Asp.Net 4.5, Php 5.5, SharePoint 2013, API REST, BDC, audiencia, JavaScript, Bootstrap, jquery, css, html5. Oracle 8g (Package y Jobs), SQL Server 2010.;"•	Mejoras en rendimiento y tiempos de acceso de 1.30 min de acceso a   11 seg.
•	Acceso móvil al portal
•	Unificación de múltiples servicios con un solo acceso";Chile;Educación;web;
ADEXUS;no;feb-15;dic-15;Planeación, desarrollo, implementación y mantención de Portal BI para el directorio;Consultor/Project manager/Desarrollador senior;1;Sharepoint 2010, performancepoint, excel service, sql server, olap, bdc, audiencia;Implementación exitosa del Dashboard y reportes de detalle.;Chile;Servicios/ Software;web;
MINISTERIO DE EDUCACIÓN - ADEXUS;no;feb-14;dic-15;Diseño, desarrollo e implementación de Plataforma de Reconocimiento Oficial y Autorización de Funcionamiento, RO;Consultor/Project manager/Desarrollador senior ;3;Asp.Net 4.5, Php 5.4, Csharp, SharePoint 2010, API REST, BDC, user profile, JavaScript, Bootstrap, jquery, css, html5. postgreSQL, SQL Server 2010.;"•	Implementación exitosa de la plataforma.
•	Transparencia de los procesos de reconocimiento.
•	En la etapa de lanzamiento se redujo en un 30% el tiempo completo de resolución.";Chile;Gobierno/ Educación;web;
SUPERINTENDENCIA DE EDUCACIÓN- ;no;mar-13;dic-15;Diseño, desarrollo e implementación de Plataforma de gestión de procesos administrativos SIPA;Consultor/Project manager/Desarrollador senior;3;Asp.Net 4.5, Php 5.4, Csharp, SharePoint 2010, API REST, BDC, user profile, JavaScript, Bootstrap, jquery, css, html5. postgreSQL, SQL Server 2010.;"•	Implementación exitosa de la plataforma.
•	Transparencia de los procesos de inspección.
•	La plataforma no se lanzó por cambio de gobierno y políticas";Chile;Gobierno/ Educación;web;
CORPORACIÓN SANTO TOMAS,;no;dic-10;dic-12;Diseño, desarrollo e implementación de aplicaciones y funcionalidades para nuevo portal intranet para profesores, alumnos y funcionarios;Consultor/Lider Tecnico/Desarrollador senior ;8;Asp.Net 4.5, Php 5.0, Csharp, VisualBasic.Net, SharePoint 2010, API REST, BDC, user profile, JavaScript, Bootstrap, jquery, css, html5. mysql, SQL Server 2010, Oracle 8.1.;"•	Implementación exitosa de la plataforma.
•	Transparencia de los procesos de inspección.
•	La plataforma no se lanzó por cambio de gobierno y políticas";Chile;Educación;web;
CORPORACIÓN SANTO TOMAS;no;ago-10;dic-12;Diseño, desarrollo y mantención del Portal de inteligencia de negocio corporativo;Consultor/Desarrollador senior;3;Sharepoint 2010 (bdc, webpart,audiencia), Performance point, excel service, reporting service, Csharp, sql server, Oracle 8.1, olap, javascript, css, html5, jquery.;"•	Implementación exitosa de la plataforma.
•	Transparencia de los procesos de inspección.
•	La plataforma no se lanzó por cambio de gobierno y políticas";Chile;Educación;web;
ICONSTRUYE;no;feb-10;sept-10;Diseño y desarrollo de aplicación de Integración de órdenes de compra del Marketplace de Iconstruye con la plataforma SAP de Salfa a traves de Biztalk;Consultor/Desarrollador senior.;3;Csharp .Net Framework 4.0, Entity Framework, Microsoft BizTalk 2009 y Sql Server 2005, Web Service.;Implementación exitosa de la integración.;Chile;Construcción;app, api;
UNIVERSIDAD DE LAS AMÉRICAS;no;mar-08;dic-09;Diseño, definición y desarrollo Sistema de detección temprana de deserción de alumnos, MIS FASE I;Consultor/Lider Tecnico/Desarrollador senior ;5;Asp.Net 4.5, Csharp, SharePoint 2010, API REST, BDC, reporting services, Excel services, PerformancePoint, SQL Server 2010.;"Implementación exitosa de la plataforma.
En la primera etapa, de acuerdo con acciones tomadas con los resultados iniciales, se logró una reducción de la deserción de un 15%";Chile;Educación;web;
BANCO BCI - ASICOM;no;sept-07;dic-07;Arquitectura, modelamiento, diseño y desarrollo de Aplicación de generación de reportes financieros para el depto. de contabilidad analítica;Jefe de Proyecto/Consultor/Desarrollador senior;1;SharePoint server y sdk 2007, Visual Basic 6.0 y MS SQL Server 7.0, Net SDK 2.0, Excel 2000, Macros. ;Reducción de los tiempos de generación de reportes de 1 semana a menos de 10 min promedio;Chile;Banca;windows, web;
MINERA ESCONDIDA - ASICOM;no;may-07;sept-07;Arquitectura, modelamiento, diseño y desarrollo de Portal de gestión y monitoreo de contratos/contratistas FLAMENCO;Jefe de Proyecto/Consultor/Desarrolladorsenior;3;"Net SDK 2.0 (Csharp y Web Services), SharePoint Portal y SDK 2007, InfoPath Client, Excel Services y 
KPI web part, MS SQL Server 2005 (Analisis Services y Reporting Services)";Implementación exitosa de la de la primera fase de la plataforma.;Chile;Minería;web;
CÁMARA CHILENA DE LA CONSTRUCCIÓN - ASICOM;no;nov-06;abr-07;Desarrollo de aplicación de integración entre Microsoft Dynamics CRM y Sharepoint e Implementación de portal de socios de la cámara;Lider Técnico/ Consultor/ Desarrollador senior;4;"SharePoint server y sdk 2007, Microsoft Dynamics CRM y sdk 3.0; telerik, ajax.net y net sdk 2.0 (csharp, 
asp.net, web services), SQL Server 2005.";"•	Implementación exitosa de la plataforma.
•	Transparencia de los procesos de inspección.
•	La plataforma no se lanzó por cambio de gobierno y políticas";Chile;Construcción;web;
CODELCO – TATA CONSULTING;no;ene-04;dic-06;GEDIC, Desarrollo, implementación y mantención de Plataforma de Gestión de Contratos de la Vicepresidencia de abastecimiento.con Integración de sistemas internos y desarrollo de sistemas de personalización de documentos, formularios y workflows;Lider Técnico/ Consultor/ Desarrollador senior;6;Frameworks: NET 1.1 (CSHARP, ASP.NET y web services), iTextSharp,  Nhibernate, hummingbird DM sdk/BD: SQL Server, Oracle 8.1/Tool: .Visual Studio .NET 2003, TOAD for Oracle;"•	Implementación exitosa de la plataforma.
•	Transparencia y estandarización de los procesos de gestión de contratos. Y la definición de tipos de contratos de acuerdo al sector o servicio a contratar";Chile;Minería;Web;
VIÑA SANTA RITA;no;mar-03;dic-03;Diseño, desarrollo, implementación y mantención de Plataforma de mesa de ayuda  y compras de clientes .;Consultor/Desarrollador;2;Frameworks: Java, J2EE,Spring Framework, Hibernate, JavaServer Faces JSF / Tool: JDeveloper 9.0i, TOAD for Oracle /DB: Oracle 9i.;"•	Implementación exitosa de la plataforma.
•	Mejora en la tasa de resolución de reclamos de un 40%";Chile;Agroindustria;Web;"1.	Consultoría: Diseño y planificación del proyecto.
2.Creación de sistema para registrar y gestionar solicitudes y reclamaciones de clientes.
3.Creación de sistema que permite definir reglas y perfiles de compras para ofrecer beneficios a los clientes."
MONOBLOCK;Menor;mar-23;may-23;Migración de sitio Prestashop 1.6.1.19 a 1.7.8.8;Consultor/Desarrollador senior;1;Prestashop 1.7.8.8, Mysql,Php, Symfony , AWS Sailt;Migración exitosa en los tiempos establecidos;Argentina;Comercio;Web;"•	Definición de actividades y proceso de segmentación de datos a importar
•	Preparación y configuración de máquina virtual en AWS Sailt para operar con Prestashop
•	Preprocesamiento de datos para corregir caracteres conflictivos y redireccionamientos de urls que causaban bloqueos en la BD original
•	Pruebas de migración en entorno de Prueba para posterior migración en entorno productivo de datos e imágenes.
•	Migración, corrección y actualización de módulos y configuraciones para el nuevo modelo de desarrollo de Symfony."
PELUFFO;Menor;abr-22;sept-23;Desarrollo y mantención de proceso de integración y sincronización de productos y órdenes de compra entre ERP de la empresa y  Prestashop.;Consultor/Desarrollador senior;1;"Prestashop 1.7.8.8, Mysql, Pho
Servicio Windows: C#, NET Core 5.0, Entity Framework, AWS EC2";Integración exitosa en los tiempos acordados;Argentina;Comercio;Web;"•	Análisis, modelamiento y desarrollo de procedimientos almacenados y preprocesamiento de datos de BD del ERP para uso en la sincronización.
•	Desarrollo de Servicio de Windows que detectan los cambios en la base del dato del ERP y actualiza a la API de PrestaShop, los cambios en el producto.
•	Desarrollo de Servicio de Windows que detectan las nuevas órdenes de compra de PrestaShop y actualiza ala BD del ERP.
•	Mantención e desarrollo de nuevos requerimientos."
DISTRITO CAFETERO;Menor;ago-23;nov-23;Creación de plugin para sincronización automática de pedidos via API, que se generan en diferentes plataformas de Marketplace (Mercado Libre, Linio, Falabella, Éxito y Homecenter) con un sitio web de WooCommerce, ;Consultor/Desarrollador senior;1;Php, Wordpress, Mysql, Redux;Implementación e integración exitosa del proyecto;Colombia;Comercio;Web;"•	Análisis y preparación del entorno de desarrollo:  Determinación de los nuevos campos a mantener a nivel de orden e ítems por Marketplace y preparación del entorno general del plugin y su administración por cada integración.
•	Desarrollo de componentes de integración que administran la integración con cada uno de los Marketplace, incluyendo la lógica de negocio para extraer las órdenes y la información requerida mediante cron jobs.
•	Desarrollo de componentes de escucha y lectura de eventos de pedidos para los cambios de estado de los pedidos en cada Marketplace.
•	Desarrollo de componentes de creación y actualización de pedido en WooCommerce desde las apis, incluyendo lógica de negocio para crear ordenes validas mediante SKU de productos, o dejarlas pendientes si alguno de los productos no existe.
•	Pruebas y monitoreo: Ejecución de pruebas y monitoreo exhaustivo de generación y gestión de pedidos desde los Marketplace para verificación de correcto proceso de integración."
3djoin;Menor;ene-22;jun-22;Desarrollo de plugin de despacho multivendedor para wordpress con integración de Chilexpress, permitiendo a cada vendedor del marketplace ofrecer los servicios de envío, tarificación y seguimiento de manera individual y el cliente puede visualizar el desglose de tarificación por cada  vendedor.;Consultor/Desarrollador senior;2;Php, Wordpress, Mysql, Advanced Custom Fields (ACF), Dokan Multivendor, WCFM Marketplace , WC Marketplace, Chilexpress Oficial para Woocommerce;transparencia y simplificación de los proceso de despacho para clientes y vendedores.;Chile;Comercio, Impresión 3d;Web;"• Desarrollo de  panel de control de vendedor  para gestionar sus productos, pedidos, etiquetas y órdenes de trabajo con Chilexpress.
• Desarrollo de funcionalidad que permite calcular el costo y el tiempo de envío de cada producto según la API de Chilexpress, y lo muestra al cliente final desglosado por vendedor.
• Desarrollo de funcionalidad que permite al cliente final elegir la región, ciudad y localidad de destino, y ver las opciones de envío disponibles para su compra por proveedor y productos seleccionados.
Desarrollo de sistema de  notificaciones que permite enviar al cliente final y al vendedor sobre el estado de los envíos."
Freightcenter ;Menor;ago-22;nov-22;Sistema de cotización para cargas internacionales. Permite evaluar el costo, aceptar o rechazar la oferta, pagar y gestionar el proceso.;Consultor/Desarrollador senior;1;Php, Wordpress, Mysql, Advanced Custom Fields (ACF)y CPT UI custom post;Aumento en la retención de clientes en un 40%;Chile;Servicios, Importación;Web;"· Desarrollo de solución mediante plugin que automatiza el proceso de pre-cotización para los clientes potenciales sin necesidad de autenticación.
· Implementar las reglas de negocio que permitan calcular las cotizaciones automáticamente o derivarlas al servicio al cliente según corresponda.
· Crear un área personal para los usuarios registrados donde puedan consultar el estado de sus pre-cotizaciones y recibir notificaciones.
· Facilitar la aceptación o rechazo de las ofertas y el acceso a las pasarelas de pago adecuadas para cada país o región.
Incorporar un chatbot que brinde soporte al cliente y resuelva problemas frecuentes con ayuda automatizada."
Laamba Futsal;Menor;mar-22;sept-22;Desarrollo de aplicación web que permite la organización y gestión de campeonatos de fútbol;Consultor/Desarrollador senior;2;Php, Wordpress, Mysql, Advanced Custom Fields (ACF), Ultimate Member, AnWP Football Leagues Premium ;Implementación exitosa de la primera fase del proyecto;Argentina;ONG, Asociación;Web;"• Desarrollo de  área  de administración para la gestión de las funcionalidades y mantenedores generales de la aplicación.
• Desarrollo de  área de miembros  y panel de control por perfil de usuario para gestionar sus actividades definidas por cada rol.
• Desarrollo de funcionalidad  que permite la creación automática  por diferentes tipos de competiciones, como eliminatorias, liguillas o mixtas de acuerdo a la liga seleccionada y temporada.
• Personalización de plantillas de clubes, jugadores, estadios, árbitros y personal para cada temporada.
• Mejoras en las funcionalidades de las clasificaciones y las estadísticas de los jugadores basándose en los eventos de los partidos.
• Desarrollo de funcionalidades para la gestión de pagos  y manejo de las credenciales de los clubes."
Sysde - spanish121online.com;Menor;mar-21;abr-21;Diseño y desarrollo de tema con WordPress a medida y de manera nativa que permita la edición sencilla para el administrador con configuración para  varios idiomas .;Consultor/Desarrollador senior;1;Php, Wordpress, Mysql, Advanced Custom Fields (ACF), wpml, yoast y contact form 7;Implementación exitosa  del proyecto;España;Servicios, Idiomas;Web;"• Diseñar y desarrollar un tema con WordPress a medida que facilite la edición del contenido y el manejo de los idiomas.
• Implementar un formulario de contacto con contact form 7
• Hacer la web  compatible con varios navegadores y dispositivos
Añadir animaciones básicas de navegación"
DISTRITO CAFETERO;Menor;mar-22;abr-22;Creación de plugin para sincronizar automáticamente los pedidos de sitio web de WooCommerce con  las APIs de empresa de despacho.;Consultor/Desarrollador senior;1;;Implementación e integración exitosa del proyecto;Colombia;Comercio;Web;"• Análisis y preparación del entorno de desarrollo: Desarrollo de plugin que gestiona la creación y sincronización automática de guías desde la API de la empresa de despacho al sitio de WooCommerce.
• Desarrollo de panel de administración y campos necesarios para la gestión de guías en las ordenes de woocommerce
• Desarrollo de los escucha y lectura de eventos de guías y actualización automatica de estatus en ordenes de woocommerce
Pruebas y monitoreo: Ejecución de pruebas y monitoreo exhaustivo de generación y gestión de  guias para verificación de correcto proceso de integración."
Imporlan.cl;Menor;mar-21;mar-21;Sistema de cotización para importación de lanchas. Permite evaluar el costo, aceptar o rechazar la oferta, pagar y gestionar el proceso.;Consultor/Desarrollador senior;1;Php, Wordpress, Mysql, Advanced Custom Fields (ACF)y CPT UI custom post;Implementación e integración exitosa del proyecto;Chile;Comercio;web;"· Desarrollo de solución mediante plugin que automatiza el proceso de pre-cotización para los clientes potenciales sin necesidad de autenticación.
· Implementar las reglas de negocio que permitan calcular las cotizaciones automáticamente o derivarlas al servicio al cliente según corresponda.
· Crear un área personal para los usuarios registrados donde puedan consultar el estado de sus pre-cotizaciones y recibir notificaciones.
Facilitar la aceptación o rechazo de las ofertas y el acceso a las pasarelas de pago adecuadas para cada país o región."
Thebabies.cr;Menor;mar-22;abr-21;Mejora de la velocidad de carga de un sitio woocommerce en producción.;Consultor/Desarrollador senior;1;Php, Wordpress, Woocomerce;Mejora del puntaje de performance del sitio de 79 a 57 puntos;Costa Rica;Comercio;web;"• Análisis de métricas del sitio para determinar los principales problemas de carga de pagina
• Eliminación por código, de css y javascript innecesarios de las páginas de mayor uso del sitio
Corrección y optimización de funciones personalizadas del sitio "
Compukaed - D12;Menor;mar-21;abr-22;Creación de plugin que permita validar el DNI de un comprador  contra Api del gobierno del Perú (SUNAT y RENIEC)en el checkout (empresa o individuo) ;Consultor/Desarrollador senior;2;Php, Wordpress, Mysql, Advanced Custom Fields (ACF);Implementación exitosa  del proyecto;Perú;Comercio;web;"· Desarrollo de solución mediante plugin con area de administración para el manejo de las apis y lso campos adicionales del registro de empresa o individuo
Implementación de consultas a las apis y reglas de negocio que permitan validar el registro del comprador"
Madeinitaly;Menor;feb-21;mar-21;Plugin para agregar propiedades y cálculos adicionales en productos;Consultor/Desarrollador senior;1;Php, Wordpress, Mysql, Advanced Custom Fields (ACF), Measurement price calculator;Implementación exitosa  del proyecto;Panamá;Comercio;web;"· Desarrollo de funcionalidad para desplegar nuevos datos en  ficha de producto, carrito de compra y chechout.
· Desarrollo de funcionalidad para que las operaciones de cálculo determinen el precio final del producto
Desarrollo de funcionalidad en el área de administración para su configuración y forma de cálculo de los nuevos campos"
Marae;Menor;ago-19;oct-19;Desarro de tema personalizado para Shopify con Liquid;Consultor/Desarrollador senior;1;Shopify, Liquid, Ruby;Implementación exitosa  del proyecto;España;Comercio;web;"· Diseñar y desarrollar un tema con Liquid y Shopify a medida para ecommerce.
· Desarrollar de funcionalidades y paginas específicas de despliegue para la navegación y caracterización de productos.
Hacer la web  compatible con varios navegadores y dispositivos"
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
